PR,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
安徽省,4.087167489,3.847145912,12.67318723,17.06993414,20.71173096,27.00031522,28.77269559,29.58300896,23.39513676,16.50021713,13.54158986,3.096735678
北京市,-4.656732493,-3.573910943,4.271977216,12.66132171,18.60999745,23.02294185,24.92628497,23.19611262,20.48953738,10.95565375,4.044451659,-5.956283219
福建省,10.35605645,8.058074809,15.81231093,17.7290744,19.24024256,23.4424555,27.74167149,27.80209044,25.62496147,21.05727257,17.46383309,8.533443856
甘肃省,-6.99277324,-7.493968399,3.785029371,7.542465154,13.6310474,18.71683062,20.16270701,19.41894657,14.54981217,6.484641494,-0.270727146,-8.212504437
广东省,14.21078612,11.15491045,19.41658946,20.79866191,22.55219001,25.81432022,27.75994911,27.0191854,26.91511325,23.24336751,20.48568498,11.36917015
广西壮族自治区,11.38997921,8.601025073,18.61513071,19.79997685,21.5309367,25.38425297,26.87477574,26.65280288,25.74735664,21.5925155,19.62339379,10.24478686
贵州省,5.041643957,3.628460141,13.47961399,14.94791834,16.98563529,21.7544649,24.28755209,25.0501658,21.08702825,16.12162604,13.54733874,4.971001764
海南省,20.10140864,18.5384664,23.4799923,23.835079,25.34031873,28.0379229,27.64283547,26.99897317,26.49234421,23.91193429,23.73572274,17.73434163
河北省,-5.332421872,-4.672770122,4.312020028,12.2109827,17.38259116,22.81249015,23.7843217,22.64422312,19.35762627,10.20512314,3.782561147,-6.851340599
河南省,1.716843332,3.090722842,11.43354143,17.20140378,20.964819,28.5365338,27.09464944,27.732508,22.869388,14.93036488,11.10734673,1.584618343
黑龙江省,-19.0107377,-14.01554239,-3.512860194,5.177104793,11.74237629,18.38034798,22.23046356,18.55161512,13.88784396,3.632511075,-6.160758244,-18.34251885
湖北省,3.713478798,3.795672428,12.55197251,16.51315673,19.42748738,25.56216522,27.52471273,28.64362987,23.05108994,16.16068469,12.99322851,3.893215776
湖南省,5.552874586,4.509524492,14.30656871,17.52447526,19.65770788,25.27376329,28.10105019,29.92921988,25.91591307,18.89338322,15.60245066,5.776850304
吉林省,-14.52469301,-11.50059819,-0.930454568,8.109271203,13.39170559,18.16770191,22.18304585,19.74458526,16.00580261,6.094644439,-1.87400345,-14.50720777
江苏省,3.523961894,3.666426857,11.38003145,16.23969393,20.6798489,26.9539903,28.60682442,29.32836528,22.48736415,16.42376111,13.4713631,2.866952138
江西省,7.508967791,5.716047625,15.47010275,18.0111359,20.39487258,25.16015687,29.28647832,30.77824992,26.59390327,20.28936444,16.81259375,6.196859483
辽宁省,-8.715347929,-6.693426856,2.198208919,10.38064833,16.02782431,20.06969226,23.66824828,22.16193374,18.19498822,9.050843779,2.246587848,-8.998321867
内蒙古自治区,-13.20370466,-11.8190473,-0.187374834,7.340967932,14.01126018,20.2732714,22.89228667,19.744246,15.86135622,4.977815109,-3.930389792,-14.9071803
宁夏回族自治区,-4.006280786,-4.476474098,7.283889041,10.95724015,16.61904674,22.41480607,23.14571694,22.1321515,16.82738289,9.899951942,2.680568308,-5.799014556
青海省,-14.2267286,-14.60513786,-3.525205414,-1.260451769,3.674251256,7.837497251,10.43624571,11.8354765,4.823928059,-1.888019396,-7.985015726,-12.78297794
山东省,-0.163802642,1.063345887,8.798950972,15.60046295,20.81044419,26.12336655,26.23891196,26.03355886,21.59256724,13.77950406,9.826040124,-0.817302774
山西省,-4.219118287,-3.808820803,5.460552487,11.37846266,15.47459036,22.36851791,21.76865184,21.24706706,16.53413542,8.930161951,3.646275724,-5.897570225
陕西省,-1.148959451,-0.992062998,8.680787859,12.92205738,17.07055226,23.3155245,23.44038844,23.55411032,17.48127258,10.97079579,6.066513129,-2.049106146
上海市,5.981319104,5.192593332,11.94304541,15.82934519,19.449886,25.11120502,29.47646474,29.96358581,23.57042681,18.34260275,15.73595674,5.851101633
四川省,-4.149996952,-4.474386651,5.269851615,6.371304361,10.73404453,14.92612842,17.49567927,18.97808363,12.67120593,8.509738087,4.921870408,-0.802345951
台湾省,14.40011125,14.02950116,17.79675554,19.12262555,20.80317959,23.27238404,24.50344648,24.13705003,22.65961928,20.95033716,19.93140953,14.43338274
天津市,-2.373474401,-1.326272107,6.506912371,15.7324146,21.01934786,25.22940735,26.75086177,25.56051356,22.62559215,13.79488016,7.181246696,-3.347761242
西藏自治区,-15.87469703,-15.5138591,-5.817952364,-2.049209955,1.864710497,6.236725695,8.477777421,8.332483277,3.744424806,-4.331140809,-9.375751984,-10.9155943
香港特别行政区,16.82295609,14.16126633,20.38821411,22.11169815,23.82200623,27.01007843,28.55161285,27.58394241,27.6914444,24.47484589,22.02597427,14.04446793
新疆维吾尔自治区,-9.439665527,-7.860836841,2.966825469,10.01091213,16.79289556,20.09983338,22.06619279,19.70930817,16.05843415,5.506207337,-2.772431994,-11.58347816
云南省,7.894678529,7.646147917,15.4747145,15.41771483,16.84545279,18.65138443,20.30709347,20.02131791,17.92379574,15.61856893,13.65546908,8.789469579
浙江省,6.161448161,4.582463239,13.09537571,16.34626428,18.580818,24.13984142,29.29467087,29.90814994,23.47328822,17.88954851,15.39650276,5.127789987
重庆市,5.379551796,4.683703534,13.60762262,15.84173077,18.64737711,23.58762766,26.64909014,29.15871729,21.57101191,16.47070102,13.41516977,5.598383321
